seed,episode,step,aif_action,rand_action,aif_reward,rand_reward,q_pi,G
0,0,26,2,0,-0.01,-0.01,"[0.00675702 0.00681618 0.00675538 0.00543737 0.01911551 0.00999295
 0.00994667 0.0098716  0.00780464 0.02802401 0.00611767 0.00607043
 0.00499271 0.00612361 0.01717312 0.00923023 0.00902114 0.0092431
 0.00855423 0.0259214  0.17351688 0.17215508 0.17209184 0.13853332
 0.1307339 ]","[-17.46853535 -17.46735313 -17.46907315 -17.51936947 -17.20370627
 -17.45929213 -17.45979663 -17.46176715 -17.51619164 -17.19565023
 -17.4892433  -17.4904708  -17.53545359 -17.48912387 -17.22547902
 -17.48346249 -17.48788705 -17.48328076 -17.49989573 -17.21963593
 -16.78233676 -16.78351615 -16.78398966 -16.83425036 -16.85269948]"
0,0,27,0,0,-0.01,-0.01,"[0.00402128 0.00403028 0.00396091 0.00403024 0.0190065  0.00571679
 0.00570764 0.00559549 0.00571668 0.02696021 0.00563777 0.00561126
 0.0056395  0.00563935 0.02659483 0.00577117 0.00576047 0.00577302
 0.00562954 0.02722518 0.17117233 0.17087175 0.16825044 0.17120962
 0.13446776]","[-19.13239927 -19.13210046 -19.13542819 -19.13210256 -18.74204123
 -19.13144157 -19.13164567 -19.13558007 -19.13144507 -18.74137992
 -19.1338481  -19.13464535 -19.13381122 -19.13381474 -18.74375471
 -19.12965217 -19.12990781 -19.12961807 -19.13457859 -18.73955857
 -18.33878796 -18.33903496 -18.34210107 -18.33876985 -18.39839863]"
0,0,28,1,0,-0.01,-0.01,"[0.00596953 0.00596824 0.00577553 0.00426039 0.02849071 0.00593626
 0.00587599 0.00579287 0.00430315 0.02833703 0.00745487 0.00755846
 0.00486292 0.00755734 0.03607641 0.00519974 0.00528312 0.00528314
 0.00514544 0.0252185  0.17503634 0.17607747 0.17187038 0.1276228
 0.13904337]","[-19.13605458 -19.13609759 -19.14269753 -19.21512404 -18.74367299
 -19.13786965 -19.13941197 -19.14268193 -19.21325648 -18.74545454
 -19.09012374 -19.08782849 -19.19261115 -19.08786133 -18.69543839
 -19.18049746 -19.17758838 -19.177588   -19.18281429 -18.7851793
 -18.34829676 -18.34756437 -18.35233627 -18.42299505 -18.40606821]"
0,0,29,0,3,-0.01,-0.01,"[0.00408387 0.00410121 0.00401653 0.00362612 0.01967366 0.00586045
 0.00586119 0.00569702 0.00512508 0.02811293 0.00622118 0.00613638
 0.00522727 0.00622075 0.02984131 0.00548564 0.00540286 0.00548525
 0.00533981 0.0263126  0.17476432 0.17350421 0.17109457 0.15446792
 0.13833787]","[-19.22394265 -19.22339447 -19.22743495 -19.25085263 -18.83006842
 -19.22054765 -19.22052416 -19.22614005 -19.25049097 -18.82722073
 -19.20680085 -19.20918159 -19.24633547 -19.20681138 -18.81348456
 -19.23334166 -19.23612519 -19.23335242 -19.23867234 -18.84002961
 -18.43029828 -18.43139872 -18.43439703 -18.45780953 -18.48832349]"
0,0,30,1,3,-0.01,0.2,"[0.00557614 0.00557596 0.00554374 0.00548858 0.02681241 0.00568171
 0.00556297 0.0056614  0.00560951 0.02731966 0.00556208 0.00566075
 0.00555912 0.0056608  0.02722021 0.00549606 0.00559555 0.00559566
 0.00556901 0.0269064  0.16605348 0.16848418 0.16790618 0.16637564
 0.1335228 ]","[-18.70461696 -18.70462145 -18.70559707 -18.70760195 -18.31086308
 -18.70141142 -18.70547089 -18.70195184 -18.70375765 -18.30766441
 -18.7052074  -18.70190766 -18.70536807 -18.70190618 -18.308149
 -18.70743031 -18.70403483 -18.70403128 -18.70480318 -18.31027971
 -17.91428713 -17.91158884 -17.91211308 -17.91391063 -17.96939434]"
0,0,31,0,0,-0.01,0.2,"[0.00400583 0.00402071 0.0039973  0.00397117 0.01936254 0.0056911
 0.0056913  0.00564139 0.00560204 0.02740657 0.00572323 0.00567534
 0.00562178 0.00572301 0.02756025 0.00567626 0.00562819 0.00567604
 0.00562951 0.02733426 0.17076058 0.16983213 0.16973638 0.16862516
 0.13540792]","[-17.69532861 -17.69475596 -17.6957453  -17.69705728 -17.3007361
 -17.6942935  -17.69428855 -17.69584572 -17.69727227 -17.30027459
 -17.69323085 -17.69467395 -17.69665418 -17.69323631 -17.29921725
 -17.69477068 -17.69624644 -17.69477611 -17.69622163 -17.30075518
 -16.90255909 -16.9034451  -16.90357408 -16.90488759 -16.96025227]"
0,0,32,1,0,-0.01,0.2,"[0.00554603 0.00554594 0.0055313  0.00552357 0.02672512 0.00567533
 0.00552995 0.00566909 0.00566211 0.02734864 0.00551581 0.00562763
 0.00560779 0.00562777 0.02711949 0.00550648 0.00561885 0.005619
 0.00560884 0.02707776 0.16513956 0.16812887 0.16793661 0.1677385
 0.13336997]","[-19.10961607 -19.10961806 -19.11002366 -19.11027439 -18.71548735
 -19.10548046 -19.11062166 -19.10559071 -19.10580111 -18.71134967
 -19.11099584 -19.10712618 -19.10767098 -19.10712185 -18.71299081
 -19.11127732 -19.10737538 -19.10737076 -19.10761096 -18.71323491
 -18.31947988 -18.3160304  -18.31616179 -18.31636185 -18.37365967]"
0,0,33,2,1,0.2,-0.01,"[0.00400157 0.00401449 0.00400156 0.00399662 0.01935775 0.00567544
 0.00567556 0.0056468  0.00563898 0.02736713 0.00569499 0.00565752
 0.00565821 0.00569482 0.02746059 0.00568576 0.00564805 0.00568559
 0.00565929 0.02741597 0.17033622 0.16954961 0.16976921 0.16955821
 0.13515007]","[-19.25429267 -19.253791   -19.25429946 -19.25452725 -18.85954668
 -19.25364978 -19.25364701 -19.25449348 -19.25475701 -18.85940274
 -19.25308397 -19.25420045 -19.25419311 -19.25308801 -18.85884125
 -19.25336537 -19.25449548 -19.25336938 -19.25412997 -18.85912344
 -18.46185139 -18.46260225 -18.46237298 -18.4626022  -18.51943971]"
0,0,34,4,0,-0.01,0.2,"[0.00399377 0.00406436 0.00405964 0.0040644  0.01960155 0.00570489
 0.00569228 0.00569021 0.00570497 0.02751407 0.0057962  0.00565317
 0.0057932  0.005793   0.02793934 0.00409392 0.00400081 0.00409176
 0.00408906 0.0197339  0.17342335 0.16947648 0.17314232 0.17333788
 0.13754549]","[-18.72286096 -18.71950342 -18.71963994 -18.71950233 -18.32523157
 -18.72050949 -18.72084167 -18.72089793 -18.72050797 -18.32623273
 -18.71767485 -18.72265135 -18.71780899 -18.71781429 -18.32353431
 -18.71801587 -18.72258594 -18.71814421 -18.71819706 -18.32387
 -17.92639151 -17.93096307 -17.92663583 -17.92651652 -17.98408841]"
0,0,35,2,3,0.2,0.2,"[0.0068736  0.0069934  0.00466365 0.00705681 0.01991447 0.01062842
 0.01057338 0.00669607 0.01072381 0.03026509 0.00869257 0.00819383
 0.00860206 0.00869861 0.02476871 0.00552725 0.00544154 0.00553014
 0.00406787 0.01574752 0.17900621 0.17542375 0.11945336 0.1807173
 0.13574059]","[-18.86361723 -18.86065861 -18.95661001 -18.85844148 -18.59382238
 -18.84538679 -18.84596112 -18.95488364 -18.84312596 -18.57855434
 -18.90825985 -18.92081247 -18.91018616 -18.90824945 -18.64142715
 -18.90545869 -18.90832188 -18.90545588 -18.97706667 -18.6386223
 -18.17517016 -18.17901724 -18.27106254 -18.17295599 -18.24419189]"
