seed,episode,stepaif_action,ql_action,aif_reward,ql_reward,q_pi,G
0,1,11,3,0,-0.01,0.2,"[1.07694825e-07 1.08288768e-07 1.07265934e-07 1.08182674e-07
 5.70423929e-05 1.17437594e-07 1.05706460e-07 1.16740803e-07
 1.17319842e-07 6.18546282e-05 1.04805534e-07 1.12775540e-07
 1.13189548e-07 1.13700556e-07 5.98891169e-05 7.38361815e-08
 7.89489091e-08 7.92964740e-08 7.89772525e-08 4.17682747e-05
 1.80756410e-01 1.93267058e-01 1.93621561e-01 1.93997951e-01
 2.38134821e-01]","[-18.99702107 -18.99673231 -18.99724648 -18.99678066 -18.60380246
 -18.99205126 -18.99825317 -18.99235275 -18.99210076 -18.5991285
 -18.99874533 -18.99441891 -18.99420487 -18.99397969 -18.60105401
 -18.99895923 -18.99501853 -18.99478707 -18.99498225 -18.60186033
 -18.08379463 -18.07985625 -18.07974438 -18.07965469 -18.0665676 ]"
0,1,12,1,3,-0.01,0.2,"[3.58577611e-09 3.59209682e-09 3.59221135e-09 3.57960778e-09
 2.27137582e-05 3.63246116e-09 3.57931624e-09 3.63263049e-09
 3.62160477e-09 2.29702382e-05 3.58558542e-09 3.61711596e-09
 3.61353176e-09 3.62197390e-09 2.29032625e-05 3.56925284e-09
 3.60451854e-09 3.61426490e-09 3.61444819e-09 2.28557051e-05
 1.25009588e-01 1.26112525e-01 1.26277266e-01 1.26086852e-01
 4.96422268e-01]","[-18.98580495 -18.98571692 -18.98571527 -18.98589703 -18.43844247
 -18.98510335 -18.9859248  -18.98510092 -18.98525389 -18.4378255
 -18.98584099 -18.98535153 -18.98540165 -18.98528605 -18.43800999
 -18.98607355 -18.98551902 -18.98538019 -18.98537761 -18.43810088
 -17.88737839 -17.88688695 -17.88682298 -17.88689465 -17.80110306]"
0,1,13,1,0,-0.01,0.2,"[1.97513295e-09 2.51943571e-09 2.44842088e-12 2.23853894e-09
 1.62500909e-05 3.91922455e-09 3.92106483e-09 3.33638248e-12
 3.24375417e-09 2.52780433e-05 3.15856899e-15 1.94906095e-15
 2.71028973e-15 3.15385734e-15 2.03415203e-11 6.50277639e-09
 3.92355276e-09 6.49447177e-09 4.74048594e-12 4.18902475e-05
 1.51931292e-01 1.05718342e-01 1.52793226e-04 1.34340932e-01
 6.07773188e-01]","[-17.77665713 -17.76218755 -18.19575074 -17.769257   -17.21375624
 -17.7550422  -17.75501381 -18.19687168 -17.76643051 -17.20661227
 -18.61095515 -18.64015722 -18.62000062 -18.61104174 -18.06261208
 -17.71422156 -17.74469254 -17.71429547 -18.16547309 -17.16586201
 -16.65160984 -16.6733549  -17.08303052 -16.6589627  -16.56483464]"
0,1,14,4,2,-0.01,-0.01,"[2.48419791e-09 2.58275758e-09 7.53801214e-10 2.41424453e-09
 1.67965620e-05 4.35097215e-09 4.35412234e-09 1.08228312e-09
 3.88113249e-09 2.82993875e-05 2.31958911e-09 1.94252312e-09
 2.15264155e-09 2.31826220e-09 1.50773116e-05 1.01463784e-08
 8.90515460e-09 1.01402349e-08 1.83973822e-09 6.59547104e-05
 1.38915314e-01 1.29790618e-01 4.05066871e-02 1.29525022e-01
 5.61136170e-01]","[-19.2973299  -19.29517176 -19.3709005  -19.29910649 -18.74626668
 -19.28447142 -19.28442875 -19.3700634  -19.29120912 -18.73555858
 -19.32662989 -19.33716638 -19.33097413 -19.32666221 -18.77775358
 -19.23441628 -19.24205387 -19.23445061 -19.33977002 -18.68553676
 -18.19167402 -18.1955593  -18.26744784 -18.19575253 -18.10431659]"
0,1,15,4,2,-0.01,-0.01,"[6.93815510e-08 7.36619825e-08 7.14911486e-08 7.30640747e-08
 3.98187036e-05 1.08074030e-07 1.06410150e-07 9.61824401e-08
 1.06262962e-07 5.84336095e-05 1.11443937e-07 9.44221431e-08
 1.10336903e-07 1.11442230e-07 6.02446464e-05 1.17792480e-07
 1.08179628e-07 1.17780989e-07 1.12493667e-07 6.36826904e-05
 1.94790377e-01 1.81024384e-01 1.88376832e-01 1.93061947e-01
 2.42522692e-01]","[-18.16434812 -18.16089699 -18.16258661 -18.16132898 -17.76642159
 -18.15857424 -18.15941746 -18.16543458 -18.15950709 -17.76408479
 -18.15675359 -18.16660941 -18.15730596 -18.15678322 -17.76230423
 -18.15355353 -18.15854407 -18.15359324 -18.15621085 -17.75910309
 -17.24120105 -17.24549049 -17.24312151 -17.24170051 -17.22725254]"
0,1,16,4,0,-0.01,-0.01,"[7.61768763e-08 7.68853343e-08 7.64806271e-08 7.67149524e-08
 4.11036577e-05 1.09404273e-07 1.08967092e-07 1.07529671e-07
 1.08918898e-07 5.84864302e-05 1.09756547e-07 1.07321025e-07
 1.09467942e-07 1.09804933e-07 5.86946920e-05 1.10590354e-07
 1.09194289e-07 1.10641413e-07 1.09737920e-07 5.91580055e-05
 1.91542512e-01 1.89599748e-01 1.90479917e-01 1.91176600e-01
 2.36982163e-01]","[-17.05368953 -17.05319102 -17.05346868 -17.05330168 -16.65937289
 -17.05282088 -17.05302614 -17.05378245 -17.05305271 -16.65900508
 -17.05263361 -17.05390253 -17.05277039 -17.05261683 -16.65880735
 -17.05221882 -17.05292367 -17.05220231 -17.0526396  -16.65837572
 -16.13700287 -16.13756658 -16.13730362 -16.13710229 -16.123427  ]"
0,1,17,4,4,-0.01,-0.01,"[7.77083698e-08 7.79100215e-08 7.77836739e-08 7.78403071e-08
 4.12969543e-05 1.10407870e-07 1.10240304e-07 1.09911124e-07
 1.10214233e-07 5.85215072e-05 1.10462604e-07 1.09868491e-07
 1.10341475e-07 1.10485174e-07 5.85634475e-05 1.10650415e-07
 1.10278482e-07 1.10678998e-07 1.10406340e-07 5.86657631e-05
 1.91289563e-01 1.90816720e-01 1.90990782e-01 1.91153118e-01
 2.35531134e-01]","[-18.89043744 -18.89030649 -18.89038688 -18.89034899 -18.49700139
 -18.89019084 -18.89026458 -18.89042774 -18.89027796 -18.49688707
 -18.89016113 -18.89045087 -18.89021566 -18.89015351 -18.49684871
 -18.89007261 -18.8902495  -18.89006217 -18.89018564 -18.49675782
 -17.97495358 -17.97508265 -17.97503325 -17.97498849 -17.96167044]"
0,1,18,0,1,-0.01,-0.01,"[7.83575818e-08 7.84446450e-08 7.83869987e-08 7.84065858e-08
 4.13642746e-05 1.11049500e-07 1.10961318e-07 1.10850456e-07
 1.10945997e-07 5.85571481e-05 1.11056190e-07 1.10838747e-07
 1.10991544e-07 1.11071935e-07 5.85690147e-05 1.11119336e-07
 1.10967977e-07 1.11137482e-07 1.11012424e-07 5.86036652e-05
 1.91314159e-01 1.91138676e-01 1.91190094e-01 1.91241939e-01
 2.34896392e-01]","[-18.99878074 -18.99872711 -18.9987621  -18.9987495  -18.60573582
 -18.9986731  -18.99871044 -18.99876304 -18.99871784 -18.60568165
 -18.99866858 -18.99876908 -18.99869637 -18.99866267 -18.60567118
 -18.99863988 -18.99870837 -18.99863285 -18.99868714 -18.60564126
 -18.08376033 -18.08380584 -18.08379179 -18.08377811 -18.07064991]"
0,1,19,4,3,-0.01,-0.01,"[3.60184384e-09 3.60171975e-09 3.59848828e-09 3.59957142e-09
 2.28007186e-05 3.60501013e-09 3.60238075e-09 3.60355400e-09
 3.60395160e-09 2.28213469e-05 3.59914296e-09 3.60310265e-09
 3.60150474e-09 3.60297535e-09 2.28084136e-05 3.60054369e-09
 3.60380678e-09 3.60367898e-09 3.60167202e-09 2.28128814e-05
 1.25973701e-01 1.26044484e-01 1.25990576e-01 1.26003536e-01
 4.95896402e-01]","[-18.89756048 -18.89756221 -18.89760562 -18.89759021 -18.35022012
 -18.89752058 -18.89755474 -18.89753872 -18.89753332 -18.35017904
 -18.89759733 -18.89754401 -18.89756422 -18.89754583 -18.35020443
 -18.89757758 -18.8975345  -18.89753632 -18.89756205 -18.35019488
 -17.79892666 -17.79890038 -17.7989203  -17.79891528 -17.71313417]"
0,1,20,4,2,-0.01,-0.01,"[5.03951588e-12 4.51738046e-09 4.08857737e-09 4.18516842e-09
 2.41441061e-06 9.78675819e-14 9.20659322e-14 8.88670571e-14
 9.11409938e-14 5.23027268e-11 1.26986015e-07 9.64387339e-11
 1.22212256e-07 1.33378191e-07 7.12683075e-05 1.30991379e-07
 9.98298449e-11 1.37026244e-07 1.21742085e-07 7.32191336e-05
 2.40257430e-01 1.77099743e-04 2.25736368e-01 2.30480543e-01
 3.03200871e-01]","[-18.09608814 -17.67266942 -17.6784389  -17.67704934 -17.27886448
 -18.32540607 -18.32891267 -18.33102461 -18.32951547 -17.93160574
 -17.46939631 -17.91782781 -17.47154567 -17.46651383 -17.07272417
 -17.46758155 -17.91578863 -17.46494761 -17.47182028 -17.07115664
 -16.54900582 -16.99921913 -16.55259671 -16.55136393 -16.53429723]"
